ID,Korte omschrijving,Intervals,Extra info,Video,Img,Youtube Id,,
K036,Buikspieren strek (Abs stretch),,An exercise you can do on your own. Push the weight out as hard as your can en slowly bring it back. The difficult part is stretching your legs for balance while keeping them of the ground. Keep your back arched during this exercise.,,x,,,
K037,Buikspierem – draai (abs twist).,,"This is a very simple exercise which you can easily do at home.  It is important to keep your back arched, that way your abs are stretched and they can operate in a more natural position.",,x,,,
K038,Buik Bal Links Rechts,,Oefening als 'Buik Bal Basis'. Nu moet alleen met bal links als rechts aangetikt worden. Hierdoor wordt vooral het vastzetten van de buikspieren vermeden; een goed samenspel van rug en buikspieren is nu noodzakelijk.,,x,,,
k039,Buik Bal 2 benen geStrekt,,"Door beide benen gestrekt vast te zetten wordt de rectus abdominus beter belast en de illiopsoas wat minder.

Uitvoering
Atleet ligt op een (klein) randje. Beide benen worden gestrekt gefixeerd. De houding (been-bekken-bovenlichaam) moet zoveel mogelijk gestrekt zijn.
Bal wordt horizontaal aangegooid over de atleet.",,x,,,
k040,Buik Bal 1 been geStrekt,,"De illiopsoas wordt zo goed aangepakt in zijn 'werk-houding'

Uitvoering
Atleet ligt op een (klein) randje. Een been wordt gestrekt gefixeerd. De houding (been-bekken-bovenlichaam) moet zoveel mogelijk gestrekt zijn.
Het andere been wordt opgetrokken.
Bal wordt horizontaal aangegooid over de atleet.",,x,,,
k041,Belly bump,,"Een solo oefening met de halterschijf.
Deze oefeinig zit dicht bij ""Belly-Bal"" alleen niet zo explosief.

Uitvoering
Kort en fel uitstoten van de halterschijf en op dezelfde manier weer terug.
Rug goed recht en aangespannen houden.",,x,,,
k042,Buik Bal Basis,,"Uitvoering
Atleet zit op zijn achterste met de voeten net van de vloer. Alle hoeken zijn zoveel mogelijk 90gr. De bal wordt net boven hoofd hoogte aangegooid en zoveel mogelijk terug gekaats (als met volleybal).
Zorg ervoor dat de onderrug flink aangespannen blijft anders kunnen er rugklachten ontstaan.",,x,,,
k043,Hamstring Cranes,,Atleet knielt en wordt bij enkels gefixeerd. Atleet strekt zich over de grond naar voren. Vervolgens komt de atleet via de zelfde weg weer terug.,,x,,,
k044,Hamstring Bump,,"Atleet knielt en wordt gefixeerd bij de enkels. Licht vooroverhangend wordt een gewicht (halterschijf) fel uitgestoten en weer fel teruggetrokken

",,x,,,
k045,Hamstring Kick,,"Atleet maakt een steun op houders en een voet.
Vervolgens wordt met de steunende voet een 'sprongetje' gemaakt.
Zowel belastingsstructuur als belastingsprofiel sluiten goed aan bij de loopbeweging.",,x,,,
k046,Mini snatch,,"Exercise is ideal for runners with moderate hip extension or a bad pelvis position while running. 
Halter is firmly fixed  with stretched arms. Explosively stretch the hip while the halter is thrown forward. You can use the same weights and series you normally use for cleans.
Caution! Under light fatique some athletes tip over, allow enough space on the floor around the athlete.",,x,,,
k047,Kaatsen met skippen,,Soort kaatsen met skippen gemengd. Oefening wordt breed gedragen door 'de Nederlandse Horderschool'. Geweldig goed voor het verbeteren van het voetenwerk en de bewegingsfrequentie.,,x,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
L001,Tripplings tenen-hak,,"Stuwende beweging vanuit de enkel, bovenlichaam is goed aangespannen en rechtop. Tripplings uitvoeren met felle korte armvoering of juist met immobilisatie van de armen (""hands-up!"", ""achter het hoofd"" of ""achter de rug gevouwen"").
Slappe armen geven altijd een slappe uitvoering.",,x,d0QZoavQqW0?start=303&end=335,,"LS.VK.201.
- 1x normaal
- 1x handen achter hoofd
- 1x handen omhoog"
L002,Hakken-bil (hielaanslag),,"let op knie inzet. armen niet op achterwerk, maar naast lichaam meebewegen.
Het standbeen is volledig gestrekt en zet actief af.
De beweging wordt aangejaagd door de illiopsoas. Het onderbeen is alleen dicht bij de grond actief.",,x,d0QZoavQqW0?start=203&end=240,,"LS.VK.203.
- 1x normaal
- 1x handen achter hoofd
- 1x handen omhoog"
L003,Lage Skipping,,"lage Kniehef, landen op voorvoet, hoge frequentie, armen meebewegen.
Lopen alsof de ondergrond gloeiend heet is.",,x,mAiAvupFT6g?start=71&end=100,,"LS.VK.202.
- 1x normaal
- 1x handen achter hoofd
- 1x handen omhoog"
L004,Hoge skipping (kniehef),,"hoge Kniehef, landen op voorvoet",,x,mAiAvupFT6g?start=40&end=67,,LS.VK.204
